zip,type,primary_city,state,area_codes,latitude,longitude,estimated_population
792,PO BOX,Humacao,PR,,18.15,-65.81,0
794,STANDARD,Barranquitas,PR,787,18.18,-66.3,0
795,STANDARD,Juana Diaz,PR,"787,939",18.05,-66.5,0
801,PO BOX,St Thomas,VI,,18.35,-64.93,0
802,STANDARD,St Thomas,VI,340,18.35,-64.93,0
803,PO BOX,St Thomas,VI,,18.35,-64.93,0
804,PO BOX,St Thomas,VI,,18.35,-64.93,0
805,PO BOX,St Thomas,VI,,18.34,-64.93,0
820,STANDARD,Christiansted,VI,340,17.74,-64.7,0
821,PO BOX,Christiansted,VI,,17.74,-64.7,0
822,PO BOX,Christiansted,VI,,17.74,-64.7,0
823,PO BOX,Christiansted,VI,,17.74,-64.7,0
824,PO BOX,Christiansted,VI,,17.74,-64.7,0
830,STANDARD,St John,VI,,18.33,-64.79,0
831,PO BOX,St John,VI,,18.33,-64.79,0
840,STANDARD,Frederiksted,VI,340,17.71,-64.88,0
841,PO BOX,Frederiksted,VI,,17.71,-64.88,0
850,STANDARD,Kingshill,VI,340,17.76,-64.82,0
851,PO BOX,Kingshill,VI,,17.73,-64.8,0
901,STANDARD,San Juan,PR,,18.4,-66.06,0
902,PO BOX,San Juan,PR,,18.4,-66.06,0
906,PO BOX,San Juan,PR,,18.4,-66.06,0
907,STANDARD,San Juan,PR,787,18.4,-66.06,0
908,PO BOX,San Juan,PR,,18.4,-66.06,0
909,STANDARD,San Juan,PR,"787,939",18.44,-66.06,0
910,PO BOX,San Juan,PR,,18.4,-66.06,0
911,STANDARD,San Juan,PR,787,18.4,-66.06,0
912,STANDARD,San Juan,PR,"787,939",18.4,-66.06,0
913,STANDARD,San Juan,PR,,18.4,-66.06,0
914,PO BOX,San Juan,PR,,18.4,-66.06,0
915,STANDARD,San Juan,PR,787,18.4,-66.06,0
916,PO BOX,San Juan,PR,,18.4,-66.06,0
917,STANDARD,San Juan,PR,,18.4,-66.06,0
918,STANDARD,San Juan,PR,,18.4,-66.06,0
919,PO BOX,San Juan,PR,,18.4,-66.06,0
920,STANDARD,San Juan,PR,"787,939",18.4,-66.06,0
921,STANDARD,San Juan,PR,,18.4,-66.06,0
922,PO BOX,San Juan,PR,,18.4,-66.06,0
923,STANDARD,San Juan,PR,,18.4,-66.06,0
924,STANDARD,San Juan,PR,787,18.4,-66.06,0
925,STANDARD,San Juan,PR,,18.4,-66.06,0
926,STANDARD,San Juan,PR,787,18.4,-66.06,0
927,STANDARD,San Juan,PR,787,18.4,-66.06,0
928,PO BOX,San Juan,PR,,18.4,-66.06,0
929,PO BOX,San Juan,PR,,18.4,-66.06,0
930,PO BOX,San Juan,PR,,18.4,-66.06,0
931,PO BOX,San Juan,PR,,18.4,-66.06,0
933,PO BOX,San Juan,PR,,18.4,-66.06,0
934,STANDARD,Fort Buchanan,PR,,18.41,-66.11,0
935,UNIQUE,San Juan,PR,,18.4,-66.06,0
936,PO BOX,San Juan,PR,,18.4,-66.06,0
937,PO BOX,San Juan,PR,,18.4,-66.06,0
939,UNIQUE,San Juan,PR,,18.4,-66.06,0
940,PO BOX,San Juan,PR,,18.4,-66.06,0
949,STANDARD,Toa Baja,PR,"787,939",18.44,-66.25,0
950,PO BOX,Toa Baja,PR,,18.44,-66.25,0
951,PO BOX,Toa Baja,PR,,18.44,-66.25,0
952,STANDARD,Sabana Seca,PR,,18.42,-66.19,0
953,STANDARD,Toa Alta,PR,787,18.39,-66.25,0
954,PO BOX,Toa Alta,PR,,18.39,-66.25,0
955,PO BOX,San Juan,PR,,18.4,-66.06,0
956,STANDARD,Bayamon,PR,787,18.28,-66.13,0
957,STANDARD,Bayamon,PR,"787,939",18.28,-66.13,0
958,PO BOX,Bayamon,PR,,18.28,-66.13,0
959,STANDARD,Bayamon,PR,787,18.28,-66.13,0
960,PO BOX,Bayamon,PR,,18.28,-66.13,0
961,STANDARD,Bayamon,PR,787,18.41,-66.15,0
962,STANDARD,Catano,PR,787,18.43,-66.11,0
963,PO BOX,Catano,PR,,18.43,-66.11,0
965,STANDARD,Guaynabo,PR,787,18.38,-66.11,0
966,STANDARD,Guaynabo,PR,"787,939",18.38,-66.11,0
968,STANDARD,Guaynabo,PR,787,18.38,-66.11,0
969,STANDARD,Guaynabo,PR,787,18.38,-66.11,0
970,PO BOX,Guaynabo,PR,,18.38,-66.11,0
971,STANDARD,Guaynabo,PR,787,18.38,-66.11,0
975,UNIQUE,San Juan,PR,,18.4,-66.06,0
976,STANDARD,Trujillo Alto,PR,"787,939",18.36,-66.01,0
977,PO BOX,Trujillo Alto,PR,,18.36,-66.01,0
978,PO BOX,Saint Just,PR,,18.37,-66.01,0
979,STANDARD,Carolina,PR,787,18.4,-65.98,0
981,PO BOX,Carolina,PR,,18.4,-65.98,0
982,STANDARD,Carolina,PR,787,18.4,-65.98,0
983,STANDARD,Carolina,PR,,18.4,-65.98,0
984,PO BOX,Carolina,PR,,18.4,-65.98,0
985,STANDARD,Carolina,PR,787,18.4,-65.98,0
986,PO BOX,Carolina,PR,,18.4,-65.98,0
987,STANDARD,Carolina,PR,787,18.4,-65.98,0
988,PO BOX,Carolina,PR,,18.4,-65.98,0
1001,STANDARD,Agawam,MA,413,42.06,-72.61,14021
1002,STANDARD,Amherst,MA,413,42.37,-72.52,16532
1003,PO BOX,Amherst,MA,413,42.37,-72.52,0
1004,PO BOX,Amherst,MA,413,42.37,-72.52,742
1005,STANDARD,Barre,MA,978,42.42,-72.1,3935
1007,STANDARD,Belchertown,MA,413,42.27,-72.4,12895
1008,STANDARD,Blandford,MA,413,42.18,-72.93,1153
1009,PO BOX,Bondsville,MA,413,42.2,-72.34,1055
1010,STANDARD,Brimfield,MA,413,42.11,-72.2,3312
1011,STANDARD,Chester,MA,413,42.28,-72.98,1012
1012,STANDARD,Chesterfield,MA,413,42.4,-72.85,639
1013,STANDARD,Chicopee,MA,413,42.17,-72.57,16669
1014,PO BOX,Chicopee,MA,413,42.17,-72.57,0
1020,STANDARD,Chicopee,MA,413,42.17,-72.57,24570
1021,PO BOX,Chicopee,MA,413,42.17,-72.57,509
1022,STANDARD,Chicopee,MA,413,42.17,-72.57,1713
1026,STANDARD,Cummington,MA,413,42.46,-72.9,865
1027,STANDARD,Easthampton,MA,413,42.26,-72.68,15525
1028,STANDARD,East Longmeadow,MA,413,42.06,-72.51,14024
1029,PO BOX,East Otis,MA,413,42.17,-73.03,509
1030,STANDARD,Feeding Hills,MA,413,42.06,-72.67,10449
1031,STANDARD,Gilbertville,MA,413,42.35,-72.21,932
1032,STANDARD,Goshen,MA,413,42.43,-72.8,489
1033,STANDARD,Granby,MA,413,42.26,-72.52,5647
1034,STANDARD,Granville,MA,413,42.06,-72.86,1787
1035,STANDARD,Hadley,MA,413,42.35,-72.58,4327
1036,STANDARD,Hampden,MA,413,42.06,-72.41,4700
1037,PO BOX,Hardwick,MA,413,42.35,-72.2,714
1038,STANDARD,Hatfield,MA,413,42.37,-72.6,2161
1039,STANDARD,Haydenville,MA,413,42.39,-72.7,1228
1040,STANDARD,Holyoke,MA,413,42.21,-72.64,26316
1041,PO BOX,Holyoke,MA,413,42.21,-72.64,997
1050,STANDARD,Huntington,MA,413,42.23,-72.88,2282
1053,STANDARD,Leeds,MA,413,42.35,-72.71,1407
1054,STANDARD,Leverett,MA,413,42.45,-72.5,1620
1056,STANDARD,Ludlow,MA,413,42.16,-72.48,17529
1057,STANDARD,Monson,MA,413,42.09,-72.31,7429
1059,PO BOX,North Amherst,MA,413,42.4,-72.52,0
1060,STANDARD,Northampton,MA,413,42.32,-72.67,10304
1061,PO BOX,Northampton,MA,413,42.32,-72.67,423
1062,STANDARD,Florence,MA,413,42.32,-72.67,9483
1063,UNIQUE,Northampton,MA,413,42.32,-72.67,0
1066,PO BOX,North Hatfield,MA,413,42.4,-72.6,0
1068,STANDARD,Oakham,MA,"508,774",42.35,-72.05,1807
1069,STANDARD,Palmer,MA,413,42.16,-72.32,6950
1070,STANDARD,Plainfield,MA,413,42.51,-72.91,467
1071,STANDARD,Russell,MA,413,42.18,-72.85,1376
1072,STANDARD,Shutesbury,MA,413,42.45,-72.4,1269
1073,STANDARD,Southampton,MA,413,42.23,-72.73,5385
1074,PO BOX,South Barre,MA,978,42.38,-72.09,525
1075,STANDARD,South Hadley,MA,413,42.26,-72.56,14184
